MCGS_Time,MCGS_TIMEMS,F1Time,F1_T,F1_pH,F1_DO,F1_ZS,F1_F,F1_P,F1_PHJ,F1_PHS,F1_AF,F1_FD,F1_FD2,F1_TP,F1_GZ,F1_JC,F1_ORP,F1_PO2,F1_PC2,F1_OUR,F1_CER,F1_RQ,F1_KLa,F1_FD3,F1_FD4
2022-8-25 3:10:4,406,0.00583333,29.9909,6.50764,96.754,298.906,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:11:4,722,0.0227778,30.0439,6.50764,96.5643,298.906,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:12:4,32,0.0391667,30.0616,6.5082,96.4987,298.813,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:13:4,311,0.0558333,30.1028,6.5082,96.3746,298.875,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:14:4,618,0.0727778,30.1146,6.5082,96.2798,298.813,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:15:4,927,0.0894444,30.1146,6.51211,96.2069,298.844,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:16:4,211,0.105833,30.0792,6.51267,96.1193,298.813,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:17:4,552,0.122778,30.0734,6.51211,96.0318,298.844,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:18:4,825,0.139444,30.0675,6.51211,95.9297,298.844,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:19:4,93,0.155833,29.8968,6.51267,95.9151,298.875,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:20:4,384,0.1725,30.0498,6.51267,95.8349,298.781,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:21:4,710,0.189444,30.0498,6.51267,95.8057,298.906,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:22:4,989,0.206111,30.0321,6.51267,95.7984,298.844,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:23:4,280,0.2225,30.0145,6.51211,95.7473,298.813,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:24:4,573,0.239444,30.0086,6.51267,95.6744,298.844,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:25:4,875,0.256111,30.0086,6.51658,95.616,298.781,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:26:4,159,0.2725,30.0027,6.51658,95.6233,298.75,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:27:4,495,0.289444,29.9851,6.51602,95.5066,298.781,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:28:4,789,0.306111,29.9497,6.51602,95.5139,298.844,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:29:4,72,0.3225,29.9615,6.51658,95.5139,298.781,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:30:4,330,0.339167,29.9556,6.51714,95.5139,298.75,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:31:4,647,0.356111,29.938,6.51658,95.5066,298.844,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:32:4,939,0.372778,29.9262,6.51602,95.5139,298.875,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:33:4,285,0.389167,29.9144,6.51714,95.4774,298.844,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:34:4,577,0.406111,29.8909,6.51714,95.4555,298.813,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:35:4,865,0.422778,29.8791,6.51714,95.4555,298.813,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:36:4,125,0.439167,29.8791,6.51937,95.4555,298.813,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:37:4,407,0.455833,29.8791,6.51937,95.4993,298.813,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:38:4,731,0.472778,29.9144,6.51937,95.4847,298.75,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:39:4,34,0.489167,29.9321,6.52105,95.4847,298.844,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:40:4,317,0.505833,29.9733,6.52105,95.4555,298.875,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-8-25 3:41:4,624,0.522778,29.9851,6.52105,95.4701,298.813,2,0,4.46595,0.0452399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
